code_from,code_to,ccmathstandard_id,ccmathstandard_id_other
6.NS.C.5,7.NS.A.1.a,276,326
6.NS.C.6.a,6.EE.B.8,278,260
6.NS.C.6.a,6.NS.C.6.b,278,279
6.NS.C.6.a,6.NS.C.6.c,278,280
6.NS.C.6.a,6.NS.C.7.c,278,284
6.NS.C.6.a,7.NS.A.1.a,278,326
6.NS.C.6.a,7.NS.A.1.b,278,327
6.NS.C.6.b,6.NS.C.8,279,286
6.NS.C.6.c,6.EE.B.8,280,260
6.NS.C.6.c,6.NS.C.7.a,280,282
6.NS.C.6.c,6.NS.C.7.b,280,283
6.NS.C.7.a,6.EE.B.8,282,260
6.NS.C.7.a,6.NS.C.7.d,282,285
6.NS.C.7.b,6.EE.B.8,283,260
6.NS.C.7.b,6.NS.C.7.d,283,285
6.NS.C.7.c,6.NS.C.7.d,284,285
6.NS.C.7.c,7.NS.A.1.b,284,327
6.NS.C.7.c,7.NS.A.1.c,284,330
6.NS.C.8,8.SP.A.1,286,448
6.RP.A.1,6.RP.A.2,288,291
6.RP.A.1,6.RP.A.3.a,288,295
6.RP.A.2,6.RP.A.3.b,291,296
6.RP.A.2,6.RP.A.3.c,291,297
6.RP.A.2,6.RP.A.3.d,291,298
6.RP.A.2,7.RP.A.1,291,352
6.RP.A.2,7.RP.A.2,291,355
6.RP.A.3,7.RP.A.2,294,355
6.RP.A.3,7.RP.A.3,294,363
6.RP.A.3,HS.N-Q.A.1,294,629
6.RP.A.3.a,6.RP.A.3.b,295,296
6.SP.A.1,6.SP.A.3,299,301
6.SP.A.1,7.SP.A.1,299,364
6.SP.A.2,6.SP.A.3,300,301
6.SP.A.2,6.SP.B.5,300,303
6.SP.A.2,7.SP.A.1,300,364
6.SP.A.2,7.SP.B.3,300,370
6.SP.A.2,HS.S-ID.A.2,300,668
6.SP.A.2,HS.S-ID.A.3,300,669
6.SP.A.2,HS.S-ID.A.4,300,670
6.SP.A.3,6.SP.B.5,301,303
6.SP.A.3,HS.S-ID.A.2,301,668
6.SP.B.4,HS.S-ID.A.1,302,667
6.SP.B.5,HS.S-IC.B.6,303,666
6.SP.B.5,HS.S-ID.A.2,303,668
6.SP.B.5,HS.S-ID.A.3,303,669
7.EE.A.1,8.EE.C.7.b,308,410
7.EE.A.1,HS.A-APR.A.1,308,496
7.EE.A.1,HS.A-SSE.A.2,308,524
7.EE.A.1,HS.A-SSE.B.3.a,308,526
7.EE.A.1,HS.A-SSE.B.3.b,308,527
7.EE.A.1,HS.F-IF.C.8.a,308,555
7.EE.A.1,HS.F-IF.C.8.b,308,556
7.EE.A.1,HS.N-CN.A.2,308,621
7.EE.A.2,HS.A-SSE.A.1,309,521
7.EE.A.2,HS.A-SSE.B.3.a,309,526
7.EE.A.2,HS.A-SSE.B.3.b,309,527
